Date,Open,High,Low,Close,Adj Close,Volume
2017-06-30,76.08000200000001,76.269997,75.66999799999999,75.68,74.812668,6963300
2017-07-03,75.839996,76.339996,75.08000200000001,75.360001,74.496338,4848600
2017-07-05,75.550003,75.949997,75.16999799999999,75.32,74.456795,6036900
2017-07-06,75.349998,75.970001,75.239998,75.470001,74.60507199999999,6161800
2017-07-07,75.650002,75.82,75.050003,75.33000200000001,74.466675,5307100
2017-07-10,75.150002,75.309998,73.129997,73.230003,72.39074699999999,15066700
2017-07-11,73.379997,74.050003,73.33000200000001,73.470001,72.62799100000001,7532600
2017-07-12,73.660004,74.209999,73.660004,73.940002,73.092606,5700200
2017-07-13,74.66999799999999,75.25,74.510002,75.050003,74.189888,8160500
2017-07-14,76.269997,76.559998,75.910004,76.339996,75.465096,9151900
2017-07-17,76.290001,76.870003,76.190002,76.370003,75.494759,8835600
2017-07-18,76.25,76.540001,76.0,76.199997,75.326706,4314900
2017-07-19,76.08000200000001,76.220001,75.599998,75.870003,75.000488,5313600
2017-07-20,75.980003,76.25,75.699997,76.019997,75.14876600000001,4965400
2017-07-21,75.839996,76.230003,75.550003,76.150002,75.277283,7153300
2017-07-24,76.029999,77.160004,76.029999,76.889999,76.008797,7388000
2017-07-25,77.610001,78.860001,77.389999,78.519997,77.62011700000001,11504000
2017-07-26,78.550003,79.16999799999999,77.940002,78.900002,77.995758,6716100
2017-07-27,78.720001,79.860001,78.480003,79.779999,78.865669,8052500
2017-07-28,79.800003,79.959999,79.540001,79.809998,78.895332,4975200
2017-07-31,79.82,80.339996,79.690002,79.989998,79.073265,6263200
2017-08-01,80.25,80.730003,80.0,80.5,79.577431,5726500
2017-08-02,80.339996,81.110001,80.300003,80.529999,79.607079,8673000
2017-08-03,81.339996,81.760002,80.66999799999999,80.870003,79.943184,9946900
2017-08-04,81.059998,81.400002,80.209999,80.480003,79.55765500000001,7141800
2017-08-07,80.57,81.449997,80.540001,81.279999,80.348488,5484500
2017-08-08,81.16999799999999,81.860001,80.900002,81.589996,80.65493000000001,7381400
2017-08-09,81.110001,81.989998,80.900002,81.610001,81.182152,6606500
2017-08-10,81.07,81.400002,80.550003,80.660004,80.237137,8045000
2017-08-11,80.730003,81.25,80.360001,80.400002,79.9785,7905500
2017-08-14,80.589996,81.239998,80.5,80.699997,80.276917,7760500
2017-08-15,80.83000200000001,81.400002,80.540001,80.769997,80.34655,7066100
2017-08-16,81.269997,81.440002,80.540001,80.980003,80.555458,11536000
2017-08-17,78.849998,79.809998,78.33000200000001,79.699997,79.282166,17293700
2017-08-18,79.620003,80.349998,79.279999,79.309998,78.894211,9753000
2017-08-21,79.120003,80.07,78.790001,79.709999,79.292114,9613900
2017-08-22,79.800003,80.160004,79.709999,80.019997,79.600487,6546100
2017-08-23,80.349998,80.559998,79.879997,79.959999,79.540802,7799300
2017-08-24,80.610001,80.879997,77.849998,78.339996,77.929291,19128000
2017-08-25,78.5,79.089996,78.480003,78.629997,78.217773,9902200
2017-08-28,78.410004,78.459999,77.860001,78.029999,77.620918,8621500
2017-08-29,77.66999799999999,78.980003,77.5,78.769997,78.35704,7665200
2017-08-30,78.82,79.099998,78.519997,78.540001,78.12825,5829800
2017-08-31,78.599998,78.75,78.059998,78.07,77.660713,8194800
2017-09-01,78.309998,78.5,78.209999,78.370003,77.95914499999999,6474400
2017-09-05,77.949997,79.889999,77.900002,79.800003,79.38164499999999,12068500
2017-09-06,79.879997,80.400002,79.720001,80.08000200000001,79.660179,8426100
2017-09-07,80.32,80.760002,80.0,80.120003,79.699966,6820800
2017-09-08,79.739998,79.879997,77.730003,78.879997,78.466461,9999600
2017-09-11,79.150002,79.349998,78.660004,79.08000200000001,78.665421,7000200
2017-09-12,79.300003,79.910004,79.16999799999999,79.610001,79.192635,6005000
2017-09-13,79.610001,80.68,79.589996,79.860001,79.44133000000001,8823700
2017-09-14,79.790001,79.82,79.220001,79.68,79.262268,6939300
2017-09-15,79.809998,80.75,79.269997,80.379997,79.95859499999999,13317800
2017-09-18,80.209999,81.120003,79.949997,80.0,79.580597,8176100
2017-09-19,80.18,80.459999,79.699997,80.050003,79.630333,6174400
2017-09-20,80.16999799999999,80.559998,79.870003,80.5,80.077972,5318200
2017-09-21,80.57,80.57,79.720001,80.010002,79.590546,6430300
2017-09-22,79.889999,80.08000200000001,79.25,79.529999,79.113052,5755300
2017-09-25,78.91999799999999,80.099998,78.860001,79.150002,78.735054,8547800
2017-09-26,79.040001,79.540001,78.91999799999999,79.389999,78.973793,5835300
2017-09-27,79.41999799999999,79.57,78.66999799999999,79.290001,78.874313,6314600
2017-09-28,79.0,79.08000200000001,78.120003,78.949997,78.53609499999999,12372800
2017-09-29,78.849998,79.0,77.980003,78.139999,77.730347,10353400
2017-10-02,77.900002,78.83000200000001,77.5,78.449997,78.038719,7709200
2017-10-03,78.83000200000001,79.660004,78.75,79.220001,78.80468,7936700
2017-10-04,79.269997,79.779999,79.07,79.089996,78.67536199999999,6173400
2017-10-05,79.16999799999999,79.809998,79.08000200000001,79.410004,78.99369,5138700
2017-10-06,78.779999,79.16999799999999,78.25,79.0,78.585838,6246700
2017-10-09,79.5,81.379997,79.400002,80.529999,80.107811,13493000
2017-10-10,82.68,84.879997,82.610001,84.129997,83.688942,25124000
2017-10-11,84.58000200000001,86.290001,84.099998,85.730003,85.280556,18561000
2017-10-12,85.699997,86.370003,85.059998,86.099998,85.648613,12877000
2017-10-13,86.239998,86.949997,86.239998,86.620003,86.165894,9389000
2017-10-16,86.58000200000001,86.620003,85.019997,85.739998,85.290497,9300300
2017-10-17,85.5,86.360001,85.32,85.980003,85.52924300000001,5851500
2017-10-18,86.150002,86.370003,86.010002,86.220001,85.76798199999999,5472100
2017-10-19,86.150002,86.660004,85.769997,86.400002,85.94704399999999,7029000
2017-10-20,86.599998,87.449997,86.279999,87.440002,86.98159,7617800
2017-10-23,87.339996,88.91999799999999,87.260002,88.650002,88.185249,10586000
2017-10-24,88.690002,88.800003,87.910004,87.980003,87.518761,7700900
2017-10-25,87.849998,88.599998,87.43,88.480003,88.016136,6408000
2017-10-26,88.660004,89.110001,88.019997,88.620003,88.155403,6484900
2017-10-27,88.139999,88.389999,87.150002,88.16999799999999,87.707756,6617000
2017-10-30,87.940002,87.949997,86.389999,86.949997,86.494156,7052000
2017-10-31,86.860001,87.459999,86.599998,87.309998,86.852264,6006900
2017-11-01,87.07,88.400002,87.0,87.940002,87.478966,6176100
2017-11-02,88.279999,89.16999799999999,87.800003,88.800003,88.33446500000001,5183100
2017-11-03,89.019997,89.879997,88.760002,89.68,89.209846,6512100
2017-11-06,89.41999799999999,89.68,88.68,88.699997,88.234978,5257400
2017-11-07,88.870003,89.059998,88.309998,88.949997,88.483665,5349300
2017-11-08,89.110001,90.41999799999999,89.099998,90.260002,89.786804,6767500
2017-11-09,89.940002,90.57,89.349998,90.300003,89.826599,6904500
2017-11-10,90.239998,91.690002,90.199997,90.91999799999999,90.443344,7647800
2017-11-13,91.040001,91.980003,90.870003,90.989998,90.512978,8491600
2017-11-14,90.699997,91.199997,90.18,91.089996,90.61245,9834100
2017-11-15,90.339996,90.849998,89.650002,89.83000200000001,89.359062,8433400
2017-11-16,95.120003,99.68,94.720001,99.620003,99.09773299999999,38122400
2017-11-17,99.239998,100.129997,96.58000200000001,97.470001,96.959007,23575500
2017-11-20,96.440002,97.639999,95.760002,97.480003,96.968956,16394300
2017-11-21,97.739998,97.91999799999999,96.32,96.519997,96.01398499999999,12746500
2017-11-22,96.650002,96.809998,96.110001,96.410004,95.90456400000001,8918200
2017-11-24,96.870003,97.230003,96.529999,96.620003,96.11346400000001,4496100
2017-11-27,96.849998,97.650002,96.300003,96.620003,96.11346400000001,8904900
2017-11-28,96.589996,96.889999,95.82,96.769997,96.262672,8709600
2017-11-29,97.220001,98.260002,96.879997,97.559998,97.04853100000001,11424000
2017-11-30,98.089996,98.440002,96.510002,97.230003,96.720268,12854700
2017-12-01,97.610001,97.709999,96.230003,97.349998,96.83963,8296200
2017-12-04,97.730003,97.959999,96.68,97.010002,96.501419,8956500
2017-12-05,97.0,97.940002,96.91999799999999,97.83000200000001,97.317123,9010100
2017-12-06,97.989998,98.139999,97.239998,97.279999,96.769997,7141000
2017-12-07,97.059998,97.58000200000001,96.650002,96.779999,96.779999,7502600
2017-12-08,96.300003,96.699997,96.139999,96.550003,96.550003,5821100
2017-12-11,96.959999,97.269997,96.290001,96.93,96.93,8928900
2017-12-12,96.849998,97.239998,96.599998,96.699997,96.699997,7810600
2017-12-13,96.660004,97.910004,96.550003,97.760002,97.760002,7879400
2017-12-14,98.0,98.57,97.099998,97.129997,97.129997,9385800
2017-12-15,97.709999,98.489998,96.910004,97.110001,97.110001,16142800
2017-12-18,97.379997,98.16999799999999,97.360001,97.900002,97.900002,7964400
2017-12-19,99.910004,99.910004,98.290001,98.800003,98.800003,12012200
2017-12-20,99.449997,99.650002,98.449997,98.75,98.75,10729800
2017-12-21,99.0,99.33000200000001,97.980003,98.059998,98.059998,7369100
2017-12-22,98.290001,98.41999799999999,97.68,98.209999,98.209999,5478700
2017-12-26,98.349998,99.440002,98.349998,99.160004,99.160004,4295900
2017-12-27,99.559998,99.599998,98.83000200000001,99.260002,99.260002,5140800
2017-12-28,99.519997,99.620003,99.120003,99.400002,99.400002,9763900
2017-12-29,99.400002,99.690002,98.75,98.75,98.75,7144300
